iter	Passed	Remaining
551	4858	3943
552	4873	3939
553	4887	3934
554	4902	3930
555	4916	3926
556	4931	3922
557	4946	3917
558	4961	3913
559	4972	3907
560	4987	3902
561	5003	3899
562	5017	3894
563	5032	3890
564	5047	3885
565	5062	3881
566	5077	3877
567	5091	3872
568	5106	3867
569	5121	3863
570	5135	3858
571	5151	3854
572	5166	3849
573	5181	3845
574	5196	3840
575	5210	3835
576	5225	3830
577	5241	3826
578	5257	3822
579	5273	3818
580	5289	3814
581	5306	3810
582	5321	3805
583	5336	3801
584	5350	3795
585	5365	3790
586	5380	3785
587	5394	3780
588	5409	3774
589	5424	3769
590	5438	3763
591	5454	3759
592	5469	3753
593	5486	3749
594	5502	3745
595	5518	3740
596	5533	3735
597	5548	3729
598	5563	3724
599	5578	3718
600	5592	3713
601	5608	3707
602	5623	3702
603	5638	3696
604	5653	3691
605	5668	3685
606	5683	3679
607	5698	3674
608	5714	3668
609	5728	3662
610	5743	3656
611	5757	3650
612	5772	3644
613	5788	3638
614	5804	3633
615	5818	3627
616	5833	3621
617	5848	3614
618	5862	3608
619	5877	3602
620	5892	3596
621	5907	3590
622	5922	3584
623	5937	3577
624	5952	3571
625	5967	3565
626	5981	3558
627	5996	3551
628	6011	3545
629	6026	3539
630	6036	3529
631	6050	3523
632	6064	3516
633	6079	3509
634	6094	3502
635	6110	3497
636	6125	3490
637	6140	3484
638	6154	3477
639	6168	3469
640	6177	3459
641	6185	3448
642	6192	3438
643	6200	3427
644	6207	3416
645	6214	3405
646	6222	3394
647	6229	3384
648	6237	3373
649	6244	3362
650	6251	3351
651	6258	3340
652	6265	3329
653	6272	3318
654	6279	3307
655	6286	3296
656	6294	3286
657	6302	3275
658	6318	3269
659	6326	3259
660	6334	3248
661	6342	3238
662	6349	3227
663	6356	3216
664	6363	3205
665	6370	3194
666	6377	3184
667	6385	3173
668	6392	3162
669	6399	3151
670	6406	3141
671	6414	3130
672	6421	3120
673	6428	3109
674	6436	3098
675	6443	3088
676	6451	3078
677	6458	3067
678	6466	3056
679	6474	3046
680	6482	3036
681	6489	3025
682	6497	3015
683	6506	3005
684	6513	2995
685	6521	2984
686	6530	2975
687	6537	2964
688	6545	2954
689	6552	2944
690	6561	2934
691	6569	2923
692	6577	2913
693	6584	2903
694	6591	2892
695	6598	2882
696	6603	2870
697	6610	2860
698	6618	2849
699	6625	2839
700	6632	2829
701	6641	2819
702	6649	2809
703	6656	2798
704	6664	2788
705	6672	2778
706	6679	2768
707	6686	2757
708	6693	2747
709	6701	2737
710	6708	2726
711	6715	2716
712	6723	2706
713	6730	2696
714	6737	2685
715	6744	2675
716	6752	2665
717	6759	2654
718	6766	2644
719	6773	2634
720	6780	2623
721	6788	2613
722	6795	2603
723	6802	2593
724	6809	2583
725	6817	2572
726	6824	2562
727	6831	2552
728	6838	2542
729	6846	2532
730	6854	2522
731	6861	2512
732	6868	2502
733	6876	2491
734	6883	2481
735	6890	2471
736	6897	2461
737	6904	2451
738	6912	2441
739	6919	2431
740	6926	2421
741	6934	2411
742	6941	2401
743	6949	2391
744	6957	2381
745	6964	2371
746	6972	2361
747	6980	2351
748	6987	2341
749	6994	2331
750	7001	2321
751	7009	2311
752	7017	2301
753	7024	2291
754	7031	2281
755	7039	2271
756	7046	2261
757	7053	2251
758	7061	2242
759	7069	2232
760	7076	2222
761	7084	2212
762	7091	2202
763	7098	2192
764	7106	2182
765	7114	2173
766	7121	2163
767	7129	2153
768	7136	2143
769	7144	2134
770	7151	2124
771	7158	2114
772	7165	2104
773	7172	2094
774	7180	2084
775	7187	2074
776	7194	2064
777	7201	2054
778	7209	2045
779	7216	2035
780	7223	2025
781	7230	2015
782	7237	2005
783	7244	1996
784	7251	1986
785	7259	1976
786	7267	1966
787	7274	1957
788	7281	1947
789	7289	1937
790	7296	1927
791	7304	1918
792	7311	1908
793	7318	1898
794	7325	1889
795	7333	1879
796	7340	1869
797	7347	1859
798	7354	1850
799	7361	1840
800	7368	1830
801	7377	1821
802	7385	1811
803	7407	1805
804	7419	1797
805	7427	1787
806	7435	1778
807	7448	1769
808	7456	1760
809	7464	1750
810	7471	1741
811	7479	1731
812	7486	1721
813	7493	1712
814	7501	1702
815	7508	1693
816	7515	1683
817	7523	1673
818	7530	1664
819	7537	1654
820	7545	1645
821	7552	1635
822	7559	1625
823	7566	1616
824	7574	1606
825	7581	1597
826	7589	1587
827	7596	1578
828	7604	1568
829	7612	1559
830	7619	1549
831	7627	1540
832	7634	1530
833	7641	1520
834	7648	1511
835	7655	1501
836	7662	1492
837	7689	1486
838	7697	1477
839	7705	1467
840	7712	1458
841	7720	1448
842	7728	1439
843	7735	1429
844	7743	1420
845	7750	1410
846	7757	1401
847	7765	1391
848	7772	1382
849	7779	1372
850	7787	1363
851	7794	1353
852	7801	1344
853	7809	1335
854	7816	1325
855	7823	1316
856	7830	1306
857	7837	1297
858	7844	1287
859	7852	1278
860	7859	1268
861	7866	1259
862	7874	1249
863	7881	1240
864	7888	1231
865	7896	1221
866	7903	1212
867	7910	1202
868	7917	1193
869	7924	1184
870	7931	1174
871	7938	1165
872	7945	1155
873	7952	1146
874	7960	1137
875	7967	1127
876	7974	1118
877	7981	1109
878	7988	1099
879	7996	1090
880	8003	1081
881	8010	1071
882	8017	1062
883	8024	1053
884	8032	1043
885	8039	1034
886	8046	1025
887	8054	1015
888	8062	1006
889	8069	997
890	8076	988
891	8084	978
892	8091	969
893	8098	960
894	8106	951
895	8113	941
896	8121	932
897	8128	923
898	8136	914
899	8143	904
900	8150	895
901	8159	886
902	8167	877
903	8175	868
904	8183	858
905	8190	849
906	8197	840
907	8205	831
908	8212	822
909	8219	812
910	8226	803
911	8234	794
912	8241	785
913	8248	776
914	8256	766
915	8263	757
916	8270	748
917	8277	739
918	8285	730
919	8292	721
920	8300	711
921	8308	702
922	8315	693
923	8323	684
924	8330	675
925	8337	666
926	8344	657
927	8352	648
928	8359	638
929	8367	629
930	8374	620
931	8381	611
932	8389	602
933	8396	593
934	8403	584
935	8411	575
936	8418	566
937	8427	557
938	8435	547
939	8442	538
940	8450	529
941	8457	520
942	8465	511
943	8473	502
944	8480	493
945	8487	484
946	8495	475
947	8502	466
948	8510	457
949	8534	449
950	8550	440
951	8560	431
952	8568	422
953	8575	413
954	8583	404
955	8590	395
956	8597	386
957	8605	377
958	8613	368
959	8620	359
960	8627	350
961	8635	341
962	8642	332
963	8650	323
964	8657	313
965	8664	304
966	8671	295
967	8679	286
968	8686	277
969	8693	268
970	8701	259
971	8709	250
972	8716	241
973	8723	232
974	8731	223
975	8738	214
976	8746	205
977	8753	196
978	8761	187
979	8768	178
980	8775	169
981	8783	160
982	8790	152
983	8797	143
984	8805	134
985	8813	125
986	8820	116
987	8828	107
988	8835	98
989	8843	89
990	8850	80
991	8857	71
992	8864	62
993	8871	53
994	8879	44
995	8886	35
996	8893	26
997	8901	17
998	8908	8
999	8915	0
